IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
131.186.59.94,2086,2086,false,NRT,Asia Pacific,Tokyo,154,12.76
168.138.200.159,2087,2087,true,NRT,Asia Pacific,Tokyo,71,12.74
155.248.165.169,2087,2087,true,NRT,Asia Pacific,Tokyo,79,12.68
141.147.166.95,2052,2052,false,NRT,Asia Pacific,Tokyo,69,12.68
158.179.191.14,2082,2082,false,NRT,Asia Pacific,Tokyo,70,12.65
141.147.164.54,80,80,false,NRT,Asia Pacific,Tokyo,90,12.63
132.226.13.229,8443,443,true,NRT,Asia Pacific,Tokyo,66,12.62
152.70.98.174,2082,2082,false,NRT,Asia Pacific,Tokyo,71,12.61
158.101.137.96,2082,2082,false,NRT,Asia Pacific,Tokyo,71,12.61
141.147.167.40,80,80,false,NRT,Asia Pacific,Tokyo,72,12.60
158.101.140.255,8880,8880,false,NRT,Asia Pacific,Tokyo,71,12.58
158.179.191.14,8443,8443,true,NRT,Asia Pacific,Tokyo,71,12.57
141.147.167.40,2082,2082,false,NRT,Asia Pacific,Tokyo,71,12.56
141.147.164.54,2083,2083,true,NRT,Asia Pacific,Tokyo,74,12.55
168.138.200.155,2096,2096,true,NRT,Asia Pacific,Tokyo,73,12.51
64.110.83.150,443,443,true,SIN,Asia Pacific,Singapore,106,12.51
158.179.191.14,2087,2087,true,NRT,Asia Pacific,Tokyo,69,12.48
141.147.160.221,2053,2053,true,NRT,Asia Pacific,Tokyo,89,12.47
131.186.62.26,2086,2086,false,NRT,Asia Pacific,Tokyo,71,12.45
140.238.40.136,2082,2082,false,NRT,Asia Pacific,Tokyo,70,12.44
168.138.197.222,2096,2096,true,NRT,Asia Pacific,Tokyo,71,12.43
158.101.157.173,8443,8443,true,NRT,Asia Pacific,Tokyo,88,12.43
158.101.140.255,2087,2087,true,NRT,Asia Pacific,Tokyo,100,12.42
168.138.197.222,2053,2053,true,NRT,Asia Pacific,Tokyo,71,12.41
155.248.160.116,8443,8443,true,NRT,Asia Pacific,Tokyo,84,12.41
140.238.36.216,2052,2052,false,NRT,Asia Pacific,Tokyo,70,12.39
158.101.154.70,2087,2087,true,NRT,Asia Pacific,Tokyo,134,12.34
140.238.63.187,8443,443,true,NRT,Asia Pacific,Tokyo,187,12.32
158.101.137.96,2096,2096,true,NRT,Asia Pacific,Tokyo,100,12.32
141.147.166.95,2087,2087,true,NRT,Asia Pacific,Tokyo,95,12.28
158.101.157.173,8880,8880,false,NRT,Asia Pacific,Tokyo,70,12.25
158.101.157.173,2095,2095,false,NRT,Asia Pacific,Tokyo,70,12.24
131.186.43.107,8080,8080,false,NRT,Asia Pacific,Tokyo,68,12.23
140.238.41.253,2087,2087,true,NRT,Asia Pacific,Tokyo,77,12.18
140.238.32.238,2082,2082,false,NRT,Asia Pacific,Tokyo,72,12.15
146.56.159.44,443,443,true,SIN,Asia Pacific,Singapore,109,12.14
141.147.167.40,2086,2086,false,NRT,Asia Pacific,Tokyo,71,12.12
140.238.36.216,8880,8880,false,NRT,Asia Pacific,Tokyo,68,12.12
158.101.137.74,2096,2096,true,NRT,Asia Pacific,Tokyo,86,12.07
155.248.160.116,2086,2086,false,NRT,Asia Pacific,Tokyo,84,12.04
132.145.123.159,2096,2096,true,NRT,Asia Pacific,Tokyo,70,12.03
141.147.166.95,2095,2095,false,NRT,Asia Pacific,Tokyo,69,12.02
217.142.149.161,443,443,true,SIN,Asia Pacific,Singapore,164,12.01
158.101.159.181,2083,2083,true,NRT,Asia Pacific,Tokyo,71,12.01
158.101.146.160,2096,2096,true,NRT,Asia Pacific,Tokyo,76,11.96
140.238.36.216,2096,2096,true,NRT,Asia Pacific,Tokyo,137,11.95
152.70.106.195,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.93
141.147.175.230,2053,2053,true,NRT,Asia Pacific,Tokyo,97,11.92
140.238.39.33,8443,8443,true,NRT,Asia Pacific,Tokyo,241,11.91
155.248.165.169,2095,2095,false,NRT,Asia Pacific,Tokyo,70,11.91
140.238.50.32,2082,2082,false,NRT,Asia Pacific,Tokyo,71,11.90
140.238.36.216,8080,8080,false,NRT,Asia Pacific,Tokyo,70,11.89
140.238.33.94,2053,2053,true,NRT,Asia Pacific,Tokyo,136,11.88
132.145.121.123,2086,2086,false,NRT,Asia Pacific,Tokyo,70,11.86
141.147.160.221,2086,2086,false,NRT,Asia Pacific,Tokyo,68,11.84
140.238.39.33,2086,2086,false,NRT,Asia Pacific,Tokyo,71,11.83
158.101.149.52,8443,8443,true,NRT,Asia Pacific,Tokyo,99,11.79
168.138.195.31,2087,2087,true,NRT,Asia Pacific,Tokyo,71,11.78
158.101.149.52,2052,2052,false,NRT,Asia Pacific,Tokyo,70,11.76
